"","Gene","reg_within","reg_between","targ_within","targ_between"
"577","nurse_LOC105829467",0.537569520932557,0.100730872788068,0.643730818192757,0.126415570312495
"578","nurse_LOC105831158",0.445957542645944,0.104260940792508,0.650824184456177,0.122733398153764
"579","nurse_LOC105837415",0.234490918960759,0.157114263374677,0.342638433861748,0.388421917077063
"580","nurse_LOC105835638",0.493481345450158,0.135994923869853,0.564618968451722,0.205123614834662
"581","nurse_LOC105836775",0.307750273576002,0.119451822898739,0.421176169922878,0.319586283666067
"582","nurse_LOC105832113",0.470157180655294,0.156903690013443,0.580112954444203,0.164483877290477
"583","nurse_LOC105837767",0.853065375861575,0.0958932817347234,0.72228756231415,0.0824239385251026
"584","nurse_LOC105829110",0.65756315891168,0.0769857757411495,0.720428792226198,0.0797022143114226
"585","nurse_LOC105828178",0.290298205106869,0.114737745029119,0.487029178692735,0.2425427107668
"586","nurse_LOC105838872",0.930610801223092,0.0860340683799501,0.693073129496889,0.114094736190569
"587","nurse_LOC105828264",0.770883323517655,0.118436113749871,0.710517323638398,0.116530390163549
"588","nurse_LOC105832014",0.285169546558453,0.162219066693957,0.377846289432294,0.336993053960161
"589","nurse_LOC105831666",0.92059716139763,0.119402066544167,0.72952257605959,0.109087290257718
"590","nurse_LOC105837628",0.572662875551476,0.11199140380806,0.680546770979733,0.133202838631456
"591","nurse_LOC105831395",0.583302466828225,0.0984387228406148,0.660362699305541,0.128237438560084
"592","nurse_LOC105831857",0.409155319896066,0.0718378202260132,0.596070299180761,0.142976497450486
"593","nurse_LOC105832811",0.504194977432358,0.119731557208505,0.654515240046868,0.123571429035826
"594","nurse_LOC105841142",0.388075937494946,0.136208453447206,0.575385461094169,0.168130256668605
"595","nurse_LOC105841018",0.67058346262018,0.0842391235795128,0.63550661358035,0.120276657261438
"596","nurse_LOC105838133",0.79445879299403,0.0919323519727508,0.737791203954224,0.0919031382357964
"597","nurse_LOC105828131",0.493849955654381,0.0857785611049644,0.620152650228537,0.155850733924766
"598","nurse_LOC105838244",0.639610674560856,0.0835035773750872,0.639751437979035,0.136537756110916
"599","nurse_LOC105829150",0.458199978381569,0.126625165665636,0.524905985719652,0.227814848221808
"600","nurse_LOC105830816",0.812400560295789,0.108272254649993,0.659112953735984,0.120369416858436
"601","nurse_LOC105831951",0.892610180697315,0.201935235220663,0.647661356262074,0.157879921750905
"602","nurse_LOC105832738",0.444438034427002,0.114884651448522,0.608868433198323,0.152656431920276
"603","nurse_LOC105835806",0.739873676056829,0.0906367397212999,0.678486832219476,0.117434331204419
"604","nurse_LOC105836164",0.429731356774516,0.0937718328973165,0.607454000257941,0.128165889047426
"605","nurse_LOC105838731",0.950480248055865,0.113499447140878,0.653576809564612,0.13518441732226
"606","nurse_LOC105828877",0.510825440271891,0.134313503815233,0.620611441272796,0.139923680636946
"607","nurse_LOC105833938",0.351739377838585,0.357327845406516,0.264539798968648,0.548339787648678
