"Gene","differential expression tissue","differential expression P-value","used in regulatory network reconstruction?","estimated regulatory direction","social connectivity","phylostrata category","SwissProt ID","constraint"
"LOC105829602",NA,NA,9.55481843420658e-13,NA,NA,"worker larva","no","307658:0040dd"
"LOC105829605",NA,NA,0.00168435040478095,NA,NA,"worker larva","no","307658:004b2a"
"LOC105829606",NA,NA,0.0265266373491158,NA,NA,"nurse abdomen","no","307658:0024be"
"LOC105829606",NA,NA,1.69400849614932e-15,NA,NA,"worker larva","no","307658:0024be"
"LOC105829607",NA,NA,3.08424408702453e-05,NA,NA,"worker larva","no","307658:003e23"
"LOC105829608",NA,NA,0.0256900831263148,NA,NA,"nurse head","no","307658:004dae"
"LOC105829608",NA,NA,9.87628459873639e-14,NA,NA,"worker larva","no","307658:004dae"
"LOC105829609",NA,NA,0.021055216043186,NA,NA,"nurse head","no","307658:0022c0"
"LOC105829613",NA,NA,1.88177228067067e-12,NA,NA,"worker larva","no","307658:001181"
"LOC105829614","nurse head → larva","CH",0.000544335267651381,"nurse",0.109784930108546,"nurse head","yes","307658:004cad"
"LOC105829614",NA,NA,8.80635347630992e-10,NA,NA,"worker larva","no","307658:004cad"
"LOC105829617",NA,NA,4.31127483662508e-05,NA,NA,"worker larva","no",NA
"LOC105829618",NA,NA,5.89075747071751e-06,NA,NA,"worker larva","no","307658:00275b"
"LOC105829620",NA,NA,0.00704411905694021,NA,NA,"worker larva","no","307658:004eb3"
"LOC105829621","larva → nurse abdomen","CG",8.0412741782038e-26,"larv",0.150795275978595,"worker larva","yes","307658:004efa"
"LOC105829621","larva → nurse head","CH",8.0412741782038e-26,"larv",0.248336990080487,"worker larva","yes","307658:004efa"
"LOC105829623",NA,NA,2.40545818828447e-05,NA,NA,"worker larva","no",NA
"LOC105829624",NA,NA,1.65232825695905e-06,NA,NA,"worker larva","no",NA
"LOC105829627","nurse abdomen → larva","CG",0.0102088870277929,"nurse",0.0760801929729221,"nurse abdomen","yes","307658:000693"
"LOC105829627","larva → nurse abdomen","CG",2.48424268238485e-48,"larv",0.186598268550031,"worker larva","yes","307658:000693"
"LOC105829627","larva → nurse head","CH",2.48424268238485e-48,"larv",0.16387993422282,"worker larva","yes","307658:000693"
"LOC105829627",NA,NA,0.000565966410855102,NA,NA,"nurse head","no","307658:000693"
"LOC105829628",NA,NA,1.0404644514175e-11,NA,NA,"worker larva","no","307658:000652"
"LOC105829628","nurse head → larva","CH",0.00630104118811607,"nurse",0.120138882155971,"nurse head","yes","307658:000652"
"LOC105829630",NA,NA,2.24442758236988e-10,NA,NA,"worker larva","no","307658:0049c3"
"LOC105829631",NA,NA,3.40289743804891e-08,NA,NA,"worker larva","no","307658:004a44"
"LOC105829632",NA,NA,0.000427200311562755,NA,NA,"worker larva","no","307658:004cb3"
"LOC105829633",NA,NA,5.64175685784305e-12,NA,NA,"worker larva","no","307658:004fc1"
"LOC105829636","larva → nurse head","CH",3.46346298194158e-41,"larv",0.190246469042004,"worker larva","yes","307658:002511"
"LOC105829636","larva → nurse abdomen","CG",3.46346298194158e-41,"larv",0.182889693868738,"worker larva","yes","307658:002511"
"LOC105829637","larva → nurse head","CH",1.3060892170854e-37,"larv",0.167414064878424,"worker larva","yes","307658:004fe3"
"LOC105829637","larva → nurse abdomen","CG",1.3060892170854e-37,"larv",0.236057430908366,"worker larva","yes","307658:004fe3"
"LOC105829639",NA,NA,5.43490058498204e-07,NA,NA,"worker larva","no","307658:004485"
"LOC105829639",NA,NA,2.26476440078193e-05,NA,NA,"nurse head","no","307658:004485"
"LOC105829640",NA,NA,5.4754631733174e-12,NA,NA,"worker larva","no","307658:00491b"
"LOC105829641",NA,NA,0.0303997021406851,NA,NA,"nurse abdomen","no","307658:000f35"
"LOC105829641",NA,NA,1.22996200172102e-09,NA,NA,"worker larva","no","307658:000f35"
"LOC105829642",NA,NA,0.0287715951838014,NA,NA,"nurse head","no","307658:0040c9"
"LOC105829643",NA,NA,1.74463110889846e-07,NA,NA,"worker larva","no","307658:004024"
"LOC105829645",NA,NA,0.0469099104870348,NA,NA,"worker larva","no","307658:0002ef"
"LOC105829646",NA,NA,7.78620872131968e-07,NA,NA,"worker larva","no","307658:00207f"
"LOC105829647","larva → nurse abdomen","CG",4.77814960188884e-34,"larv",0.178073022740842,"worker larva","yes","307658:003e8b"
"LOC105829647","larva → nurse head","CH",4.77814960188884e-34,"larv",0.179943291176366,"worker larva","yes","307658:003e8b"
"LOC105829648",NA,NA,0.0222589842029497,NA,NA,"worker larva","no","307658:003e8c"
"LOC105829648","nurse head → larva","CH",0.000763206034437401,"nurse",0.119520496546685,"nurse head","yes","307658:003e8c"
"LOC105829650","nurse head → larva","CH",0.00175360861051915,"nurse",0.0996047116831589,"nurse head","yes","307658:0045f1"
"LOC105829651",NA,NA,0.0176647944937394,NA,NA,"worker larva","no",NA
"LOC105829655",NA,NA,5.02339084624732e-06,NA,NA,"worker larva","no",NA
"LOC105829658","larva → nurse head","CH",1.5877965834477e-20,"larv",0.148679806477965,"worker larva","yes","307658:004e73"
"LOC105829658","larva → nurse abdomen","CG",1.5877965834477e-20,"larv",0.299802919299238,"worker larva","yes","307658:004e73"
"LOC105829658","nurse abdomen → larva","CG",0.0165772435504929,"nurse",0.093393213381373,"nurse abdomen","yes","307658:004e73"
"LOC105829662",NA,NA,0.0142690336326801,NA,NA,"worker larva","no","307658:00482a"
"LOC105829664",NA,NA,6.23454153729504e-15,NA,NA,"worker larva","no","307658:00074e"
